Wave-Number (cm-1)	u(Wave-Number) (cm-1)	Absorbance	u(Absorbance)
0.041249609	6.44522E-05	0.001138826	0.000855735
0.041315399	6.4547E-05	0.002373424	0.000855782
0.041381186	6.46418E-05	0.001436731	0.000855865
0.041446977	6.47367E-05	-0.000986918	0.000856019
0.041512764	6.48315E-05	0.000832115	0.000856109
0.041578554	6.49264E-05	0.001407818	0.000855939
0.041644341	6.50213E-05	-0.000339089	0.000855304
0.041710132	6.51162E-05	-0.000716031	0.00085556
0.041775919	6.52111E-05	0.000284557	0.000855487
0.041841709	6.5306E-05	0.001688682	0.000855032
0.041907496	6.54009E-05	0.00181173	0.000854893
0.041973287	6.54958E-05	6.71868E-05	0.00085569
0.042039074	6.55908E-05	-0.000111929	0.000855315
0.042104864	6.56857E-05	4.55292E-05	0.000855925
0.042170652	6.57807E-05	-0.001317226	0.000855142
0.042236442	6.58757E-05	-0.001650072	0.000854928
0.042302229	6.59707E-05	0.000342506	0.000855338
0.04236802	6.60657E-05	0.000765654	0.000855382
0.042433807	6.61607E-05	0.000532496	0.000854548
0.042499597	6.62557E-05	0.000242726	0.00085458
0.042565384	6.63507E-05	-0.001145975	0.000855356
0.042631175	6.64458E-05	0.001341862	0.00085455
0.042696962	6.65408E-05	-0.001584966	0.000854939
0.042762752	6.66359E-05	-0.002680882	0.000854254
0.042828543	6.6731E-05	0.000409432	0.000854687
0.04289433	6.68261E-05	-0.00039472	0.000854792
0.04296012	6.69212E-05	-0.003550722	0.000854296
0.043025907	6.70163E-05	-0.00231052	0.000854607
0.043091698	6.71114E-05	-0.001154871	0.000854427
0.043157485	6.72065E-05	-0.000824436	0.000854588
0.043223275	6.73016E-05	-0.000278944	0.000854493
0.043289063	6.73968E-05	0.000762027	0.000854613
0.043354853	6.7492E-05	-0.000182293	0.000854483
0.04342064	6.75871E-05	-5.18927E-05	0.000854504
0.04348643	6.76823E-05	-0.001012748	0.000854716
0.043552218	6.77775E-05	-0.000684443	0.000854823
0.043618008	6.78727E-05	0.000652993	0.000854357
0.043683795	6.79679E-05	0.002156844	0.00085466
0.043749586	6.80631E-05	0.000235302	0.00085442
0.043815373	6.81583E-05	-0.000542035	0.000854397
0.043881163	6.82536E-05	0.003505492	0.000854408
0.04394695	6.83488E-05	0.003941563	0.000854058
0.044012741	6.84441E-05	0.00161066	0.000854754
0.044078528	6.85394E-05	0.00261935	0.000854842
0.044144318	6.86346E-05	0.002789151	0.000854342
0.044210106	6.87299E-05	0.002695191	0.000855067
0.044275896	6.88252E-05	0.002721294	0.000854278
0.044341683	6.89205E-05	0.000617592	0.000854986
0.044407474	6.90159E-05	0.004385608	0.000853868
0.044473264	6.91112E-05	0.004723631	0.000854136
0.044539051	6.92065E-05	0.004286196	0.000853825
0.044604841	6.93019E-05	0.002436561	0.000853755
0.044670629	6.93972E-05	0.004201842	0.000853442
0.044736419	6.94926E-05	0.003964792	0.000853877
0.044802206	6.9588E-05	0.001681766	0.00085421
0.044867997	6.96833E-05	0.005455149	0.000853862
0.044933784	6.97787E-05	0.004726328	0.000854189
0.044999574	6.98741E-05	0.004530104	0.000854156
0.045065361	6.99696E-05	0.00253576	0.000853798
0.045131152	7.0065E-05	0.002909108	0.00085349
0.045196939	7.01604E-05	0.004132308	0.000853984
0.045262729	7.02558E-05	0.004698836	0.000853657
0.045328517	7.03513E-05	0.001797578	0.000853253
0.045394307	7.04467E-05	0.002123607	0.000853307
0.045460094	7.05422E-05	0.002050622	0.000853136
0.045525884	7.06377E-05	0.002371489	0.000853084
0.045591672	7.07332E-05	0.000366705	0.000853068
0.045657462	7.08287E-05	0.00150549	0.00085323
0.045723249	7.09242E-05	0.003657816	0.000852929
0.04578904	7.10197E-05	0.002347917	0.000853265
0.045854827	7.11152E-05	0.000364293	0.000853015
0.045920617	7.12107E-05	0.001159501	0.000852751
0.045986404	7.13063E-05	0.002687161	0.000852926
0.046052195	7.14018E-05	-0.000433561	0.000852514
0.046117985	7.14974E-05	-0.000382932	0.000852917
0.046183772	7.15929E-05	0.001059403	0.000853367
0.046249563	7.16885E-05	0.004053801	0.000852442
0.04631535	7.17841E-05	0.000445094	0.000851975
0.04638114	7.18797E-05	9.56064E-05	0.000851391
0.046446927	7.19753E-05	0.000211916	0.000852515
0.046512718	7.20709E-05	0.000358629	0.000852197
0.046578505	7.21665E-05	0.001197996	0.000851521
0.046644295	7.22621E-05	-0.000339656	0.00085245
0.046710083	7.23577E-05	0.000960423	0.000851955
0.046775873	7.24534E-05	0.002416085	0.000852012
0.04684166	7.2549E-05	0.000534824	0.000852516
0.046907451	7.26447E-05	-0.000135384	0.000851274
0.046973238	7.27403E-05	0.001669277	0.000851258
0.047039028	7.2836E-05	0.003059622	0.000851961
0.047104815	7.29317E-05	0.001039233	0.000851574
0.047170606	7.30274E-05	0.000677908	0.000851435
0.047236393	7.31231E-05	0.002788563	0.000851706
0.047302183	7.32188E-05	0.002895214	0.000851251
0.04736797	7.33145E-05	0.002876941	0.000850881
0.047433761	7.34102E-05	0.000787958	0.000851033
0.047499548	7.35059E-05	0.004356981	0.000851415
0.047565338	7.36017E-05	0.005809336	0.000851369
0.047631126	7.36974E-05	0.002629662	0.000851102
0.047696916	7.37932E-05	0.001237809	0.000851003
0.047762706	7.38889E-05	0.003491273	0.000850904
0.047828494	7.39847E-05	0.002897627	0.000850648
0.047894284	7.40805E-05	0.000739424	0.000850684
0.047960071	7.41762E-05	0.00394063	0.000850219
0.048025861	7.4272E-05	0.004150608	0.000851171
0.048091649	7.43678E-05	0.003256777	0.000850734
0.048157439	7.44636E-05	0.003368999	0.000851041
0.048223226	7.45594E-05	0.002941682	0.000850237
0.048289017	7.46553E-05	0.004083492	0.000849523
0.048354804	7.47511E-05	0.004043769	0.000849986
0.048420594	7.48469E-05	0.002387882	0.000849519
0.048486381	7.49428E-05	0.002007314	0.000849286
0.048552172	7.50386E-05	0.002093846	0.000849663
0.048617959	7.51345E-05	0.003419299	0.00084937
0.048683749	7.52303E-05	0.001829349	0.000848318
0.048749537	7.53262E-05	0.001691772	0.000849063
0.048815327	7.54221E-05	0.002041592	0.000849099
0.048881114	7.5518E-05	0.001811501	0.000848656
0.048946905	7.56139E-05	0.000564188	0.000848898
0.049012692	7.57098E-05	-6.01275E-05	0.000848071
0.049078482	7.58057E-05	0.000596284	0.000848009
0.049144269	7.59016E-05	2.31736E-05	0.000847744
0.04921006	7.59975E-05	-0.000411258	0.000847928
0.049275847	7.60935E-05	-0.002885345	0.000847862
0.049341637	7.61894E-05	0.001227419	0.000847964
0.049407428	7.62853E-05	0.000219523	0.000847883
0.049473215	7.63813E-05	-0.002167738	0.000847002
0.049539005	7.64773E-05	-0.000995219	0.000847726
0.049604792	7.65732E-05	0.000268011	0.000847742
0.049670583	7.66692E-05	-0.00271694	0.000847209
0.04973637	7.67652E-05	-0.001886288	0.000846921
0.04980216	7.68612E-05	-0.003013964	0.000847139
0.049867948	7.69572E-05	-0.001158377	0.000847295
0.049933738	7.70532E-05	-0.002376937	0.000846819
0.049999525	7.71492E-05	-0.000456605	0.000846985
0.050065315	7.72452E-05	-0.000901371	0.000846636
0.050131103	7.73412E-05	-0.000553747	0.000847267
0.050196893	7.74372E-05	0.000919046	0.000846872
0.05026268	7.75333E-05	-0.002138652	0.000846497
0.050328471	7.76293E-05	-0.001509553	0.000846452
0.050394258	7.77254E-05	-0.000398688	0.000846677
0.050460048	7.78214E-05	-6.64413E-05	0.000846561
0.050525835	7.79175E-05	-0.000675023	0.000846377
0.050591626	7.80135E-05	-1.80994E-05	0.000847015
0.050657413	7.81096E-05	-0.000114691	0.000846108
0.050723203	7.82057E-05	0.001126307	0.000846355
0.050788991	7.83018E-05	-0.000997656	0.000846324
0.050854781	7.83979E-05	0.001197633	0.000846091
0.050920568	7.8494E-05	-0.000227688	0.000846238
0.050986358	7.85901E-05	-0.000377248	0.000845853
0.051052149	7.86862E-05	-0.001289502	0.000845873
0.051117936	7.87823E-05	0.001342376	0.00084567
0.051183726	7.88785E-05	0.002164728	0.000846144
0.051249514	7.89746E-05	0.001097986	0.000845672
0.051315304	7.90707E-05	0.000641597	0.000845978
0.051381091	7.91669E-05	0.001095564	0.000845566
0.051446882	7.9263E-05	0.001944145	0.000845537
0.051512669	7.93592E-05	-0.000429671	0.000845189
0.051578459	7.94553E-05	-0.000305597	0.00084559
0.051644246	7.95515E-05	0.001874536	0.000845314
0.051710037	7.96477E-05	0.002380033	0.00084546
0.051775824	7.97439E-05	0.000505372	0.000845047
0.051841614	7.98401E-05	-0.000846017	0.000844931
0.051907401	7.99363E-05	0.000187451	0.000845206
0.051973192	8.00325E-05	0.001019043	0.000845025
0.052038979	8.01287E-05	-0.001222977	0.0008447
0.052104769	8.02249E-05	-0.00220385	0.000844392
0.052170557	8.03211E-05	-0.000780853	0.00084435
0.052236347	8.04173E-05	-2.43287E-05	0.000844917
0.052302134	8.05136E-05	-0.002729654	0.000843673
0.052367925	8.06098E-05	-0.004311914	0.000843985
0.052433712	8.07061E-05	-0.00035502	0.00084385
0.052499502	8.08023E-05	-0.001001434	0.00084423
0.052565289	8.08986E-05	-0.003582263	0.000843977
0.05263108	8.09948E-05	-0.004585317	0.000843687
0.05269687	8.10911E-05	-0.00095295	0.00084409
0.05276266	8.11874E-05	-0.001441128	0.000843399
0.052828445	8.12837E-05	-0.003834359	0.000843451
0.052894235	8.13799E-05	-0.002326807	0.000843297
0.052960025	8.14762E-05	-0.000324863	0.000843455
0.053025816	8.15725E-05	-0.001505355	0.000843389
0.0530916	8.16688E-05	-0.003417884	0.000843119
0.053157393	8.35437E-05	-0.002577735	0.000842877
0.053223193	8.35502E-05	-0.002562191	0.000843027
0.053288999	8.3563E-05	-0.002505845	0.000843309
0.053354805	8.35823E-05	-0.001499959	0.000843011
0.053420624	8.36081E-05	-0.002215958	0.000843062
0.053486448	8.36404E-05	-0.002812884	0.000842607
0.053552279	8.36791E-05	-0.002093585	0.000842767
0.05361811	8.37244E-05	-0.005205296	0.00084245
0.053683954	8.37761E-05	-0.002968325	0.000842498
0.053749803	8.38345E-05	0.000263491	0.000842794
0.053815659	8.38993E-05	-0.001953517	0.000842726
0.053881514	8.39707E-05	-0.000962748	0.000842972
0.053947382	8.40487E-05	-0.002396975	0.000842276
0.054013256	8.41332E-05	-0.00157864	0.000842262
0.054079136	8.42243E-05	-0.000938845	0.000842262
0.054145016	8.43219E-05	-0.001663957	0.000842479
0.054210909	8.44261E-05	-0.000640809	0.000842436
0.054276808	8.45369E-05	0.0008172	0.000842906
0.054342713	8.46543E-05	-0.001065134	0.000842346
0.054408624	8.47782E-05	-0.001145062	0.000842186
0.054474535	8.49087E-05	-4.1507E-05	0.000841716
0.054540458	8.50457E-05	0.000626242	0.000842391
0.054606388	8.51892E-05	-0.000431628	0.00084203
0.054672323	8.53393E-05	-0.002750463	0.000841819
0.054738259	8.54959E-05	-0.001294482	0.000842393
0.054804207	8.5659E-05	-0.000645091	0.000842226
0.054870161	8.58286E-05	0.000288771	0.000842189
0.054936122	8.60047E-05	-0.001260821	0.000841517
0.055002082	8.61872E-05	-0.0006012	0.000841876
0.055068055	8.63762E-05	-0.001229223	0.000841815
0.055134034	8.65716E-05	3.4189E-05	0.000841665
0.055200019	8.67734E-05	-0.001500357	0.000841038
0.055266004	8.69816E-05	-0.002074568	0.000841741
0.055332001	8.71961E-05	0.000311692	0.000842067
0.055398005	8.7417E-05	-0.002926858	0.000841246
0.055464014	8.76442E-05	-0.001255547	0.000841141
0.055530024	8.78777E-05	-0.001063136	0.000841172
0.055596046	8.81174E-05	-0.000943508	0.000840773
0.055662074	8.83633E-05	5.0399E-05	0.000841228
0.055728109	8.86155E-05	-0.002121722	0.000840602
